epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,244,440,521
0,train,Liberal,265,522,618
0,train,Neutral,94,128,196
0,validation,Conservative,15,165,69
0,validation,Liberal,26,190,80
0,validation,Neutral,12,28,64
1,train,Conservative,355,657,193
1,train,Liberal,399,793,213
1,train,Neutral,116,150,152
1,validation,Conservative,41,190,18
1,validation,Liberal,35,227,34
1,validation,Neutral,19,44,41
2,train,Conservative,360,788,57
2,train,Liberal,350,998,57
2,train,Neutral,94,122,202
2,validation,Conservative,33,197,19
2,validation,Liberal,38,232,26
2,validation,Neutral,19,46,39
3,train,Conservative,415,706,84
3,train,Liberal,212,1168,25
3,train,Neutral,82,70,266
3,validation,Conservative,60,163,26
3,validation,Liberal,66,195,35
3,validation,Neutral,30,33,41
4,train,Conservative,672,468,65
4,train,Liberal,181,1211,13
4,train,Neutral,79,41,298
4,validation,Conservative,109,126,14
4,validation,Liberal,102,176,18
4,validation,Neutral,39,32,33
-1,test,Conservative,110,110,27
-1,test,Liberal,106,203,15
-1,test,Neutral,24,32,22
