epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,171,111,136
0,train,Conservative,349,343,513
0,train,Liberal,358,411,636
0,validation,Neutral,60,16,28
0,validation,Conservative,50,51,148
0,validation,Liberal,62,46,188
1,train,Neutral,167,109,142
1,train,Conservative,203,442,560
1,train,Liberal,183,498,724
1,validation,Neutral,44,29,31
1,validation,Conservative,22,78,149
1,validation,Liberal,39,68,189
2,train,Neutral,218,113,87
2,train,Conservative,199,428,578
2,train,Liberal,178,448,779
2,validation,Neutral,49,28,27
2,validation,Conservative,31,81,137
2,validation,Liberal,34,80,182
3,train,Neutral,256,106,56
3,train,Conservative,152,512,541
3,train,Liberal,121,483,801
3,validation,Neutral,51,26,27
3,validation,Conservative,32,58,159
3,validation,Liberal,38,61,197
4,train,Neutral,302,100,16
4,train,Conservative,112,610,483
4,train,Liberal,59,479,867
4,validation,Neutral,50,36,18
4,validation,Conservative,38,134,77
4,validation,Liberal,48,125,123
-1,test,Neutral,30,32,16
-1,test,Conservative,57,127,63
-1,test,Liberal,42,148,134
