epoch,loop,f1,roc_auc,accuracy
0,train,0.3797886393659181,0.5348414795244385,0.3797886393659181
0,validation,0.46070878274268107,0.5955315870570107,0.46070878274268107
1,train,0.440224570673712,0.580168428005284,0.440224570673712
1,validation,0.47919876733436056,0.6093990755007703,0.47919876733436056
2,train,0.47060766182298547,0.6029557463672391,0.47060766182298547
2,validation,0.48073959938366717,0.6105546995377504,0.48073959938366717
3,train,0.5181638044914135,0.6386228533685601,0.5181638044914135
3,validation,0.4714946070878274,0.6036209553158706,0.4714946070878274
4,train,0.5875165125495376,0.6906373844121533,0.5875165125495376
4,validation,0.47303543913713403,0.6047765793528506,0.47303543913713403
-1,test,0.44838212634822805,0.586286594761171,0.44838212634822805
