epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,391,471,343
0,train,Liberal,420,618,367
0,train,Neutral,113,126,179
0,validation,Conservative,167,49,33
0,validation,Liberal,195,58,43
0,validation,Neutral,40,17,47
1,train,Conservative,612,402,191
1,train,Liberal,305,966,134
1,train,Neutral,104,116,198
1,validation,Conservative,126,98,25
1,validation,Liberal,99,173,24
1,validation,Neutral,29,37,38
2,train,Conservative,929,193,83
2,train,Liberal,170,1189,46
2,train,Neutral,78,53,287
2,validation,Conservative,110,110,29
2,validation,Liberal,86,190,20
2,validation,Neutral,34,35,35
3,train,Conservative,1111,53,41
3,train,Liberal,50,1323,32
3,train,Neutral,27,20,371
3,validation,Conservative,148,92,9
3,validation,Liberal,111,170,15
3,validation,Neutral,45,35,24
4,train,Conservative,1158,27,20
4,train,Liberal,27,1361,17
4,train,Neutral,12,7,399
4,validation,Conservative,127,84,38
4,validation,Liberal,108,149,39
4,validation,Neutral,32,27,45
-1,test,Conservative,122,79,46
-1,test,Liberal,112,155,57
-1,test,Neutral,28,15,35
