epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,418,351,436
0,train,Liberal,459,446,500
0,train,Neutral,135,96,187
0,validation,Conservative,107,72,70
0,validation,Liberal,94,113,89
0,validation,Neutral,25,19,60
1,train,Conservative,455,329,421
1,train,Liberal,413,536,456
1,train,Neutral,92,91,235
1,validation,Conservative,88,84,77
1,validation,Liberal,91,123,82
1,validation,Neutral,14,20,70
2,train,Conservative,545,300,360
2,train,Liberal,349,664,392
2,train,Neutral,85,62,271
2,validation,Conservative,98,79,72
2,validation,Liberal,89,122,85
2,validation,Neutral,17,20,67
3,train,Conservative,657,239,309
3,train,Liberal,296,791,318
3,train,Neutral,58,54,306
3,validation,Conservative,96,92,61
3,validation,Liberal,83,143,70
3,validation,Neutral,20,21,63
4,train,Conservative,808,191,206
4,train,Liberal,228,995,182
4,train,Neutral,44,53,321
4,validation,Conservative,107,103,39
4,validation,Liberal,100,148,48
4,validation,Neutral,27,26,51
-1,test,Conservative,115,77,55
-1,test,Liberal,96,175,53
-1,test,Neutral,22,20,36
