,Unnamed: 0,model,lr,epoch,f1_macro,filename,n_samples,iteration,time
36,36,answerdotai/ModernBERT-base,5e-06,2,0.4492418300653595,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,Entraînement Hugging Face,1,
37,37,answerdotai/ModernBERT-base,5e-06,3,0.4961741532972992,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,Entraînement Hugging Face,1,
38,38,answerdotai/ModernBERT-base,5e-06,4,0.5460512402187377,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,Entraînement Hugging Face,1,
39,39,answerdotai/ModernBERT-base,5e-06,5,0.5628521698910683,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,Entraînement Hugging Face,1,
40,40,google-bert/bert-base-uncased,1e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
41,41,google-bert/bert-base-uncased,1e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
42,42,google-bert/bert-base-uncased,1e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
43,43,google-bert/bert-base-uncased,1e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
44,44,google-bert/bert-base-uncased,1e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
45,45,google-bert/bert-base-uncased,2e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-2e-05-data,Entraînement Hugging Face,1,
46,46,google-bert/bert-base-uncased,2e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-2e-05-data,Entraînement Hugging Face,1,
47,47,google-bert/bert-base-uncased,2e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-2e-05-data,Entraînement Hugging Face,1,
48,48,google-bert/bert-base-uncased,2e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-2e-05-data,Entraînement Hugging Face,1,
49,49,google-bert/bert-base-uncased,2e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-2e-05-data,Entraînement Hugging Face,1,
50,50,google-bert/bert-base-uncased,5e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
51,51,google-bert/bert-base-uncased,5e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
52,52,google-bert/bert-base-uncased,5e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
53,53,google-bert/bert-base-uncased,5e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
54,54,google-bert/bert-base-uncased,5e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,
55,55,google-bert/bert-base-uncased,5e-06,1,0.3424347253109299,2025-05-20-google-bert/bert-base-uncased-5e-06-data,Entraînement Hugging Face,1,
56,56,google-bert/bert-base-uncased,5e-06,2,0.3947457813883326,2025-05-20-google-bert/bert-base-uncased-5e-06-data,Entraînement Hugging Face,1,
57,57,google-bert/bert-base-uncased,5e-06,3,0.4684644958328084,2025-05-20-google-bert/bert-base-uncased-5e-06-data,Entraînement Hugging Face,1,
58,58,google-bert/bert-base-uncased,5e-06,4,0.4993025068652734,2025-05-20-google-bert/bert-base-uncased-5e-06-data,Entraînement Hugging Face,1,
59,59,google-bert/bert-base-uncased,5e-06,5,0.4786651114784637,2025-05-20-google-bert/bert-base-uncased-5e-06-data,Entraînement Hugging Face,1,
