,model,lr,epoch,f1_macro,filename,n_samples,iteration,time
38,google-bert/bert-base-uncased,1e-05,2,0.200956937799043,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
39,google-bert/bert-base-uncased,1e-05,3,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
40,google-bert/bert-base-uncased,1e-05,4,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
41,google-bert/bert-base-uncased,1e-05,5,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,
42,google-bert/bert-base-uncased,0.0001,0,0.33,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,
43,google-bert/bert-base-uncased,0.0001,1,0.1587301587301587,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,
44,google-bert/bert-base-uncased,0.0001,2,0.1978021978021978,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,
45,google-bert/bert-base-uncased,0.0001,3,0.3421052631578947,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,
46,google-bert/bert-base-uncased,0.0001,4,0.4507122507122507,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,
47,google-bert/bert-base-uncased,0.0001,5,0.4507122507122507,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,
48,FacebookAI/roberta-base,1e-06,0,0.33,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,
49,FacebookAI/roberta-base,1e-06,1,0.1818181818181818,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,
50,FacebookAI/roberta-base,1e-06,2,0.1818181818181818,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,
51,FacebookAI/roberta-base,1e-06,3,0.2962962962962963,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,
52,FacebookAI/roberta-base,1e-06,4,0.3444444444444444,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,
53,FacebookAI/roberta-base,1e-06,5,0.3787878787878787,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,
54,FacebookAI/roberta-base,5e-05,0,0.33,./src3/319_models/2025-06-09-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,
55,FacebookAI/roberta-base,5e-05,1,0.2685185185185185,./src3/319_models/2025-06-09-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,
56,FacebookAI/roberta-base,5e-05,2,0.5343915343915344,./src3/319_models/2025-06-09-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,
57,FacebookAI/roberta-base,5e-05,3,0.5686609686609686,./src3/319_models/2025-06-09-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,
58,FacebookAI/roberta-base,5e-05,4,0.5378917378917379,./src3/319_models/2025-06-09-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,
59,FacebookAI/roberta-base,5e-05,5,0.5378917378917379,./src3/319_models/2025-06-09-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,
60,FacebookAI/roberta-base,1e-05,0,0.33,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,
61,FacebookAI/roberta-base,1e-05,1,0.2685185185185185,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,
62,FacebookAI/roberta-base,1e-05,2,0.5343915343915344,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,
63,FacebookAI/roberta-base,1e-05,3,0.5686609686609686,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,
64,FacebookAI/roberta-base,1e-05,4,0.5378917378917379,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,
65,FacebookAI/roberta-base,1e-05,5,0.5378917378917379,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,
66,FacebookAI/roberta-base,0.0001,0,0.33,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-04-data,Entraînement Hugging Face,1,
67,FacebookAI/roberta-base,0.0001,1,0.2685185185185185,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-04-data,Entraînement Hugging Face,1,
68,FacebookAI/roberta-base,0.0001,2,0.5343915343915344,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-04-data,Entraînement Hugging Face,1,
69,FacebookAI/roberta-base,0.0001,3,0.5686609686609686,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-04-data,Entraînement Hugging Face,1,
70,FacebookAI/roberta-base,0.0001,4,0.5378917378917379,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-04-data,Entraînement Hugging Face,1,
71,FacebookAI/roberta-base,0.0001,5,0.5378917378917379,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-04-data,Entraînement Hugging Face,1,
