epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,862,314,29
0,train,Liberal,909,459,37
0,train,Neutral,286,123,9
0,validation,Conservative,142,99,8
0,validation,Liberal,150,143,3
0,validation,Neutral,57,46,1
1,train,Conservative,953,216,36
1,train,Liberal,910,456,39
1,train,Neutral,299,102,17
1,validation,Conservative,174,55,20
1,validation,Liberal,169,103,24
1,validation,Neutral,55,38,11
2,train,Conservative,1008,136,61
2,train,Liberal,810,460,135
2,train,Neutral,248,120,50
2,validation,Conservative,164,62,23
2,validation,Liberal,150,107,39
2,validation,Neutral,49,30,25
3,train,Conservative,1070,71,64
3,train,Liberal,682,504,219
3,train,Neutral,215,111,92
3,validation,Conservative,157,61,31
3,validation,Liberal,149,111,36
3,validation,Neutral,52,28,24
4,train,Conservative,1163,22,20
4,train,Liberal,591,587,227
4,train,Neutral,182,108,128
4,validation,Conservative,139,72,38
4,validation,Liberal,123,130,43
4,validation,Neutral,45,22,37
-1,test,Conservative,139,67,41
-1,test,Liberal,128,147,49
-1,test,Neutral,33,22,23
