epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,118,108,192
0,train,Conservative,363,334,508
0,train,Liberal,375,405,625
0,validation,Neutral,94,6,4
0,validation,Conservative,227,13,9
0,validation,Liberal,275,17,4
1,train,Neutral,89,141,188
1,train,Conservative,277,360,568
1,train,Liberal,307,422,676
1,validation,Neutral,103,0,1
1,validation,Conservative,244,3,2
1,validation,Liberal,290,2,4
2,train,Neutral,67,107,244
2,train,Conservative,184,367,654
2,train,Liberal,203,453,749
2,validation,Neutral,20,82,2
2,validation,Conservative,38,205,6
2,validation,Liberal,43,251,2
3,train,Neutral,56,136,226
3,train,Conservative,145,424,636
3,train,Liberal,177,469,759
3,validation,Neutral,81,0,23
3,validation,Conservative,211,0,38
3,validation,Liberal,239,0,57
4,train,Neutral,50,150,218
4,train,Conservative,117,413,675
4,train,Liberal,132,488,785
4,validation,Neutral,67,7,30
4,validation,Conservative,159,11,79
4,validation,Liberal,195,15,86
-1,test,Neutral,47,7,24
-1,test,Conservative,140,19,88
-1,test,Liberal,165,26,133
