epoch,loop,f1,roc_auc,accuracy
0,train,0.3556803170409511,0.5167602377807133,0.3556803170409511
0,validation,0.499009900990099,0.5053929121725732,0.0061633281972265025
1,train,0.37153236459709377,0.5286492734478203,0.37153236459709377
1,validation,0.5005959475566151,0.5084745762711864,0.009244992295839754
2,train,0.39068692206076616,0.5430151915455745,0.39068692206076616
2,validation,0.5481335952848723,0.6105546995377504,0.0030816640986132513
3,train,0.40918097754293264,0.5568857331571995,0.40918097754293264
3,validation,0.47454545454545455,0.5057781201848998,0.08782742681047766
4,train,0.41215323645970936,0.559114927344782,0.41215323645970936
4,validation,0.4233576642335766,0.49961479198767333,0.15716486902927582
-1,test,0.47666117517847334,0.5500770416024653,0.2172573189522342
