epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,485,189,531
0,train,Liberal,581,214,610
0,train,Neutral,167,70,181
0,validation,Conservative,120,3,126
0,validation,Liberal,151,9,136
0,validation,Neutral,53,0,51
1,train,Conservative,240,390,575
1,train,Liberal,291,431,683
1,train,Neutral,84,145,189
1,validation,Conservative,43,84,122
1,validation,Liberal,55,123,118
1,validation,Neutral,18,31,55
2,train,Conservative,178,436,591
2,train,Liberal,259,477,669
2,train,Neutral,55,141,222
2,validation,Conservative,18,104,127
2,validation,Liberal,26,142,128
2,validation,Neutral,14,40,50
3,train,Conservative,186,392,627
3,train,Liberal,198,508,699
3,train,Neutral,74,138,206
3,validation,Conservative,29,99,121
3,validation,Liberal,31,140,125
3,validation,Neutral,12,37,55
4,train,Conservative,183,391,631
4,train,Liberal,208,498,699
4,train,Neutral,57,145,216
4,validation,Conservative,11,116,122
4,validation,Liberal,27,146,123
4,validation,Neutral,10,39,55
-1,test,Conservative,26,112,109
-1,test,Liberal,26,154,144
-1,test,Neutral,5,35,38
