epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,92,146,180
0,train,Conservative,318,420,467
0,train,Liberal,348,523,534
0,validation,Neutral,27,70,7
0,validation,Conservative,57,182,10
0,validation,Liberal,90,188,18
1,train,Neutral,128,96,194
1,train,Conservative,324,276,605
1,train,Liberal,319,337,749
1,validation,Neutral,52,32,20
1,validation,Conservative,133,62,54
1,validation,Liberal,160,76,60
2,train,Neutral,116,101,201
2,train,Conservative,292,318,595
2,train,Liberal,345,355,705
2,validation,Neutral,13,71,20
2,validation,Conservative,40,170,39
2,validation,Liberal,51,196,49
3,train,Neutral,107,132,179
3,train,Conservative,295,385,525
3,train,Liberal,362,470,573
3,validation,Neutral,68,36,0
3,validation,Conservative,181,67,1
3,validation,Liberal,189,106,1
4,train,Neutral,108,116,194
4,train,Conservative,307,313,585
4,train,Liberal,353,375,677
4,validation,Neutral,33,68,3
4,validation,Conservative,92,138,19
4,validation,Liberal,113,173,10
-1,test,Neutral,26,48,4
-1,test,Conservative,88,145,14
-1,test,Liberal,81,230,13
