epoch,loop,f1,roc_auc,accuracy
0,train,0.34544253632760896,0.5090819022457068,0.34544253632760896
0,validation,0.4984025559105431,0.5674114021571649,0.13405238828967642
1,train,0.38077939233817704,0.5355845442536328,0.38077939233817704
1,validation,0.42444444444444446,0.4980739599383668,0.1633281972265023
2,train,0.37615587846763543,0.5321169088507265,0.37615587846763543
2,validation,0.4189830508474576,0.5389060092449923,0.3204930662557781
3,train,0.35171730515191546,0.5137879788639367,0.35171730515191546
3,validation,0.43793445878848064,0.48382126348228044,0.10785824345146379
4,train,0.36261558784676357,0.5219616908850727,0.36261558784676357
4,validation,0.4319356691556577,0.5138674884437596,0.18335901386748846
-1,test,0.43366452367036823,0.5196456086286595,0.20801232665639446
