epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,490,387,328
0,train,Liberal,562,468,375
0,train,Neutral,151,126,141
0,validation,Conservative,108,97,44
0,validation,Liberal,113,149,34
0,validation,Neutral,38,39,27
1,train,Conservative,494,401,310
1,train,Liberal,418,509,478
1,train,Neutral,131,119,168
1,validation,Conservative,112,63,74
1,validation,Liberal,103,96,97
1,validation,Neutral,30,14,60
2,train,Conservative,767,276,162
2,train,Liberal,552,507,346
2,train,Neutral,134,114,170
2,validation,Conservative,144,51,54
2,validation,Liberal,134,90,72
2,validation,Neutral,35,11,58
3,train,Conservative,875,286,44
3,train,Liberal,344,858,203
3,train,Neutral,69,199,150
3,validation,Conservative,129,70,50
3,validation,Liberal,110,116,70
3,validation,Neutral,22,26,56
4,train,Conservative,954,246,5
4,train,Liberal,127,1122,156
4,train,Neutral,12,259,147
4,validation,Conservative,112,96,41
4,validation,Liberal,87,152,57
4,validation,Neutral,29,25,50
-1,test,Conservative,111,86,50
-1,test,Liberal,89,172,63
-1,test,Neutral,26,16,36
