epoch,loop,f1_micro,f1_macro,roc_auc,accuracy,f1_Conservative,f1_Liberal,f1_Neutral
0,train,0.3556803170409511,0.340147879218595,0.5167602377807133,0.3556803170409511,0.38563488670371954,0.3936535162950257,0.24115523465703967
0,validation,0.4052388289676425,0.39111982155082786,0.5539291217257319,0.4052388289676425,0.36563876651982374,0.4842883548983364,0.32343234323432346
1,train,0.46036988110964333,0.4401558613146355,0.5952774108322325,0.46036988110964333,0.4965095986038395,0.5049668874172185,0.31899109792284863
1,validation,0.47303543913713403,0.4632166309103613,0.6047765793528506,0.47303543913713403,0.47210300429184554,0.5162523900573613,0.40129449838187703
2,train,0.6093130779392338,0.5792616150158252,0.7069848084544255,0.6093130779392338,0.6434479756203744,0.6648286727057896,0.4295081967213115
2,validation,0.4899845916795069,0.47490283746972173,0.6174884437596302,0.4899845916795069,0.4778012684989429,0.54249547920434,0.4044117647058823
3,train,0.797886393659181,0.7606560442390417,0.8484147952443857,0.797886393659181,0.8224219084296106,0.8455284552845528,0.6140177690029615
3,validation,0.49768875192604006,0.4636677193020344,0.6232665639445301,0.49768875192604006,0.43400447427293065,0.5849056603773586,0.3720930232558139
4,train,0.917107001321004,0.8882214153961391,0.9378302509907529,0.917107001321004,0.9346105789254477,0.9416815742397138,0.788372093023256
4,validation,0.4869029275808937,0.4511607132445771,0.6151771956856702,0.4869029275808937,0.48016701461377875,0.5602716468590832,0.3130434782608696
-1,test,0.5115562403697997,0.4636915090442062,0.6336671802773498,0.5115562403697997,0.4771784232365145,0.6038961038961039,0.31
