epoch,loop,f1,roc_auc,accuracy
0,train,0.3226552179656539,0.4919914134742404,0.3226552179656539
0,validation,0.4847704847704848,0.5050077041602465,0.061633281972265024
1,train,0.2912813738441215,0.46846103038309117,0.2912813738441215
1,validation,0.42961418143899893,0.48728813559322026,0.14329738058551617
2,train,0.30250990752972257,0.47688243064729197,0.30250990752972257
2,validation,0.46402093327518534,0.4815100154083205,0.04314329738058552
3,train,0.31406869220607664,0.4855515191545575,0.31406869220607664
3,validation,0.48885149347917545,0.5057781201848999,0.0662557781201849
4,train,0.31935270805812416,0.48951453104359316,0.31935270805812416
4,validation,0.49240681086056143,0.5312018489984591,0.14329738058551617
-1,test,0.4842200180342651,0.5161787365177196,0.11248073959938366
