epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,178,67,173
0,train,Conservative,506,202,497
0,train,Liberal,583,225,597
0,validation,Neutral,83,5,16
0,validation,Conservative,185,4,60
0,validation,Liberal,247,9,40
1,train,Neutral,200,71,147
1,train,Conservative,585,182,438
1,train,Liberal,672,233,500
1,validation,Neutral,49,54,1
1,validation,Conservative,141,108,0
1,validation,Liberal,182,114,0
2,train,Neutral,165,113,140
2,train,Conservative,490,282,433
2,train,Liberal,603,333,469
2,validation,Neutral,88,16,0
2,validation,Conservative,220,29,0
2,validation,Liberal,262,34,0
3,train,Neutral,196,87,135
3,train,Conservative,566,254,385
3,train,Liberal,638,266,501
3,validation,Neutral,89,0,15
3,validation,Conservative,213,0,36
3,validation,Liberal,255,0,41
4,train,Neutral,161,78,179
4,train,Conservative,442,204,559
4,train,Liberal,509,294,602
4,validation,Neutral,82,8,14
4,validation,Conservative,185,24,40
4,validation,Liberal,206,25,65
-1,test,Neutral,51,4,23
-1,test,Conservative,178,17,52
-1,test,Liberal,256,14,54
