epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,123,129,166
0,train,Conservative,361,382,462
0,train,Liberal,418,430,557
0,validation,Neutral,49,46,9
0,validation,Conservative,101,118,30
0,validation,Liberal,117,132,47
1,train,Neutral,100,141,177
1,train,Conservative,286,431,488
1,train,Liberal,345,501,559
1,validation,Neutral,57,6,41
1,validation,Conservative,112,24,113
1,validation,Liberal,140,34,122
2,train,Neutral,103,101,214
2,train,Conservative,278,299,628
2,train,Liberal,359,362,684
2,validation,Neutral,71,29,4
2,validation,Conservative,113,118,18
2,validation,Liberal,131,134,31
3,train,Neutral,97,111,210
3,train,Conservative,316,288,601
3,train,Liberal,330,351,724
3,validation,Neutral,71,17,16
3,validation,Conservative,124,67,58
3,validation,Liberal,122,91,83
4,train,Neutral,107,115,196
4,train,Conservative,280,328,597
4,train,Liberal,339,383,683
4,validation,Neutral,72,12,20
4,validation,Conservative,124,37,88
4,validation,Liberal,127,37,132
-1,test,Neutral,48,6,24
-1,test,Conservative,125,37,85
-1,test,Liberal,157,44,123
