epoch,loop,f1,roc_auc,accuracy
0,train,0.35072655217965654,0.5130449141347424,0.35072655217965654
0,validation,0.33102386451116245,0.49807395993836673,0.32973805855161786
1,train,0.35997357992073975,0.5199801849405548,0.35997357992073975
1,validation,0.3190839694656489,0.4869029275808937,0.3081664098613251
2,train,0.35865257595772787,0.5189894319682959,0.35865257595772787
2,validation,0.34022988505747126,0.5038520801232667,0.33281972265023113
3,train,0.36624834874504625,0.5246862615587847,0.36624834874504625
3,validation,0.345565749235474,0.5073189522342064,0.3359013867488444
4,train,0.36922060766182296,0.5269154557463672,0.36922060766182296
4,validation,0.3739463601532567,0.5292758089368259,0.36517719568567025
-1,test,0.3256880733944954,0.49229583975346686,0.3189522342064715
