epoch,loop,f1,roc_auc,accuracy
0,train,0.35700132100396303,0.5177509907529723,0.35700132100396303
0,validation,0.38058551617873654,0.5354391371340524,0.38058551617873654
1,train,0.3236459709379128,0.4927344782034345,0.3236459709379128
1,validation,0.2964669738863287,0.4714946070878274,0.2942989214175655
2,train,0.36492734478203437,0.5236955085865257,0.36492734478203437
2,validation,0.30885692657077973,0.47688751926040057,0.29121725731895226
3,train,0.3764861294583884,0.5323645970937912,0.3764861294583884
3,validation,0.2799097065462754,0.4530046224961479,0.2526964560862866
4,train,0.4058784676354029,0.5544088507265521,0.4058784676354029
4,validation,0.30307576894223553,0.46995377503852076,0.275808936825886
-1,test,0.2920681986656783,0.45801232665639446,0.25115562403698
