epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,174,94,150
0,train,Conservative,434,291,480
0,train,Liberal,469,320,616
0,validation,Neutral,64,7,33
0,validation,Conservative,110,12,127
0,validation,Liberal,116,9,171
1,train,Neutral,173,85,160
1,train,Conservative,466,238,501
1,train,Liberal,524,312,569
1,validation,Neutral,55,4,45
1,validation,Conservative,146,4,99
1,validation,Liberal,151,12,133
2,train,Neutral,103,115,200
2,train,Conservative,294,333,578
2,train,Liberal,341,395,669
2,validation,Neutral,44,41,19
2,validation,Conservative,112,90,47
2,validation,Liberal,115,120,61
3,train,Neutral,54,136,228
3,train,Conservative,183,406,616
3,train,Liberal,205,520,680
3,validation,Neutral,44,52,8
3,validation,Conservative,123,104,22
3,validation,Liberal,141,132,23
4,train,Neutral,56,146,216
4,train,Conservative,155,400,650
4,train,Liberal,181,451,773
4,validation,Neutral,47,36,21
4,validation,Conservative,121,69,59
4,validation,Liberal,133,94,69
-1,test,Neutral,36,20,22
-1,test,Conservative,117,68,62
-1,test,Liberal,169,87,68
