epoch,loop,f1,roc_auc,accuracy
0,train,0.30713342140026423,0.4803500660501982,0.30713342140026423
0,validation,0.3335883703136955,0.49845916795069334,0.325115562403698
1,train,0.3120871862615588,0.4840653896961691,0.3120871862615588
1,validation,0.3207981580966999,0.48959938366718025,0.31432973805855163
2,train,0.34081902245706736,0.5056142668428005,0.34081902245706736
2,validation,0.333843797856049,0.49884437596302,0.3266563944530046
3,train,0.35997357992073975,0.5199801849405548,0.35997357992073975
3,validation,0.3457164518574678,0.5053929121725732,0.3266563944530046
4,train,0.3490752972258917,0.5118064729194187,0.3490752972258917
4,validation,0.3320581484315226,0.49730354391371334,0.32973805855161786
-1,test,0.30500758725341426,0.47457627118644063,0.288135593220339
