epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,167,120,131
0,train,Conservative,488,310,407
0,train,Liberal,546,406,453
0,validation,Neutral,45,39,20
0,validation,Conservative,101,86,62
0,validation,Liberal,101,112,83
1,train,Neutral,158,182,78
1,train,Conservative,463,502,240
1,train,Liberal,565,555,285
1,validation,Neutral,59,26,19
1,validation,Conservative,99,95,55
1,validation,Liberal,120,123,53
2,train,Neutral,108,91,219
2,train,Conservative,373,249,583
2,train,Liberal,414,316,675
2,validation,Neutral,26,54,24
2,validation,Conservative,94,96,59
2,validation,Liberal,99,104,93
3,train,Neutral,99,74,245
3,train,Conservative,289,206,710
3,train,Liberal,330,290,785
3,validation,Neutral,68,7,29
3,validation,Conservative,125,14,110
3,validation,Liberal,140,19,137
4,train,Neutral,91,129,198
4,train,Conservative,306,349,550
4,train,Liberal,371,417,617
4,validation,Neutral,59,33,12
4,validation,Conservative,107,115,27
4,validation,Liberal,118,138,40
-1,test,Neutral,42,23,13
-1,test,Conservative,111,108,28
-1,test,Liberal,137,143,44
