epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,155,98,165
0,train,Conservative,406,351,448
0,train,Liberal,491,410,504
0,validation,Neutral,104,0,0
0,validation,Conservative,249,0,0
0,validation,Liberal,296,0,0
1,train,Neutral,178,71,169
1,train,Conservative,543,183,479
1,train,Liberal,616,239,550
1,validation,Neutral,104,0,0
1,validation,Conservative,246,3,0
1,validation,Liberal,292,4,0
2,train,Neutral,73,109,236
2,train,Conservative,181,340,684
2,train,Liberal,223,375,807
2,validation,Neutral,82,16,6
2,validation,Conservative,187,47,15
2,validation,Liberal,218,64,14
3,train,Neutral,53,139,226
3,train,Conservative,147,388,670
3,train,Liberal,203,417,785
3,validation,Neutral,73,9,22
3,validation,Conservative,157,25,67
3,validation,Liberal,194,22,80
4,train,Neutral,59,99,260
4,train,Conservative,159,321,725
4,train,Liberal,184,383,838
4,validation,Neutral,101,3,0
4,validation,Conservative,241,8,0
4,validation,Liberal,288,8,0
-1,test,Neutral,73,5,0
-1,test,Conservative,236,11,0
-1,test,Liberal,316,8,0
