epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,821,65,319
0,train,Liberal,951,76,378
0,train,Neutral,275,17,126
0,validation,Conservative,143,13,93
0,validation,Liberal,151,7,138
0,validation,Neutral,34,4,66
1,train,Conservative,675,294,236
1,train,Liberal,744,376,285
1,train,Neutral,190,76,152
1,validation,Conservative,137,77,35
1,validation,Liberal,121,116,59
1,validation,Neutral,38,12,54
2,train,Conservative,610,460,135
2,train,Liberal,627,589,189
2,train,Neutral,190,71,157
2,validation,Conservative,150,64,35
2,validation,Liberal,158,86,52
2,validation,Neutral,41,12,51
3,train,Conservative,639,446,120
3,train,Liberal,576,668,161
3,train,Neutral,157,59,202
3,validation,Conservative,153,68,28
3,validation,Liberal,152,109,35
3,validation,Neutral,42,20,42
4,train,Conservative,809,316,80
4,train,Liberal,563,716,126
4,train,Neutral,135,89,194
4,validation,Conservative,156,57,36
4,validation,Liberal,152,99,45
4,validation,Neutral,42,18,44
-1,test,Conservative,152,49,46
-1,test,Liberal,173,115,36
-1,test,Neutral,32,17,29
