epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,373,558,274
0,train,Liberal,465,636,304
0,train,Neutral,125,170,123
0,validation,Conservative,11,168,70
0,validation,Liberal,6,222,68
0,validation,Neutral,0,45,59
1,train,Conservative,94,941,170
1,train,Liberal,102,1117,186
1,train,Neutral,28,255,135
1,validation,Conservative,76,149,24
1,validation,Liberal,88,167,41
1,validation,Neutral,27,36,41
2,train,Conservative,746,328,131
2,train,Liberal,859,401,145
2,train,Neutral,156,119,143
2,validation,Conservative,198,19,32
2,validation,Liberal,228,23,45
2,validation,Neutral,42,10,52
3,train,Conservative,879,191,135
3,train,Liberal,988,254,163
3,train,Neutral,156,118,144
3,validation,Conservative,165,49,35
3,validation,Liberal,194,57,45
3,validation,Neutral,39,12,53
4,train,Conservative,740,281,184
4,train,Liberal,789,439,177
4,train,Neutral,111,126,181
4,validation,Conservative,158,60,31
4,validation,Liberal,196,63,37
4,validation,Neutral,36,17,51
-1,test,Conservative,145,51,51
-1,test,Liberal,199,82,43
-1,test,Neutral,30,17,31
