epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,424,428,353
0,train,Liberal,423,573,409
0,train,Neutral,110,100,208
0,validation,Conservative,30,169,50
0,validation,Liberal,18,215,63
0,validation,Neutral,13,33,58
1,train,Conservative,631,439,135
1,train,Liberal,341,958,106
1,train,Neutral,93,82,243
1,validation,Conservative,112,92,45
1,validation,Liberal,87,148,61
1,validation,Neutral,33,25,46
2,train,Conservative,971,172,62
2,train,Liberal,161,1210,34
2,train,Neutral,37,43,338
2,validation,Conservative,153,81,15
2,validation,Liberal,110,164,22
2,validation,Neutral,41,31,32
3,train,Conservative,1148,36,21
3,train,Liberal,39,1349,17
3,train,Neutral,10,12,396
3,validation,Conservative,123,102,24
3,validation,Liberal,93,180,23
3,validation,Neutral,34,39,31
4,train,Conservative,1178,20,7
4,train,Liberal,17,1381,7
4,train,Neutral,3,5,410
4,validation,Conservative,135,93,21
4,validation,Liberal,100,173,23
4,validation,Neutral,35,34,35
-1,test,Conservative,124,93,30
-1,test,Liberal,103,197,24
-1,test,Neutral,30,27,21
