epoch,loop,f1,roc_auc,accuracy
0,train,0.3629458388375165,0.5222093791281375,0.3629458388375165
0,validation,0.41448382126348227,0.5608628659476117,0.41448382126348227
1,train,0.49966974900924704,0.6247523117569352,0.49966974900924704
1,validation,0.44992295839753466,0.587442218798151,0.44992295839753466
2,train,0.6505944517833554,0.7379458388375165,0.6505944517833554
2,validation,0.4899845916795069,0.6174884437596302,0.4899845916795069
3,train,0.8256274768824307,0.8692206076618232,0.8256274768824307
3,validation,0.48536209553158705,0.6140215716486902,0.48536209553158705
4,train,0.9250330250990753,0.9437747688243063,0.9250330250990753
4,validation,0.48536209553158705,0.6140215716486902,0.48536209553158705
-1,test,0.5177195685670262,0.6382896764252697,0.5177195685670262
