epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,187,131,100
0,train,Conservative,418,379,408
0,train,Liberal,445,427,533
0,validation,Neutral,67,14,23
0,validation,Conservative,86,57,106
0,validation,Liberal,94,57,145
1,train,Neutral,240,69,109
1,train,Conservative,279,426,500
1,train,Liberal,252,306,847
1,validation,Neutral,59,19,26
1,validation,Conservative,54,77,118
1,validation,Liberal,56,84,156
2,train,Neutral,249,91,78
2,train,Conservative,132,662,411
2,train,Liberal,89,257,1059
2,validation,Neutral,37,32,35
2,validation,Conservative,23,91,135
2,validation,Liberal,22,84,190
3,train,Neutral,337,55,26
3,train,Conservative,59,949,197
3,train,Liberal,36,155,1214
3,validation,Neutral,37,39,28
3,validation,Conservative,21,121,107
3,validation,Liberal,32,107,157
4,train,Neutral,373,30,15
4,train,Conservative,45,1091,69
4,train,Liberal,16,52,1337
4,validation,Neutral,31,43,30
4,validation,Conservative,24,134,91
4,validation,Liberal,27,119,150
-1,test,Neutral,27,28,23
-1,test,Conservative,29,140,78
-1,test,Liberal,28,127,169
