epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,390,452,363
0,train,Liberal,425,582,398
0,train,Neutral,107,105,206
0,validation,Conservative,125,74,50
0,validation,Liberal,110,123,63
0,validation,Neutral,28,19,57
1,train,Conservative,603,464,138
1,train,Liberal,398,892,115
1,train,Neutral,101,86,231
1,validation,Conservative,112,120,17
1,validation,Liberal,94,180,22
1,validation,Neutral,27,43,34
2,train,Conservative,958,178,69
2,train,Liberal,171,1196,38
2,train,Neutral,55,38,325
2,validation,Conservative,122,67,60
2,validation,Liberal,98,125,73
2,validation,Neutral,23,23,58
3,train,Conservative,1130,52,23
3,train,Liberal,52,1319,34
3,train,Neutral,28,16,374
3,validation,Conservative,142,72,35
3,validation,Liberal,141,125,30
3,validation,Neutral,38,26,40
4,train,Conservative,1174,18,13
4,train,Liberal,26,1361,18
4,train,Neutral,11,6,401
4,validation,Conservative,100,129,20
4,validation,Liberal,95,180,21
4,validation,Neutral,26,42,36
-1,test,Conservative,111,107,29
-1,test,Liberal,93,210,21
-1,test,Neutral,22,32,24
