epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,135,152,131
0,train,Conservative,395,487,323
0,train,Liberal,457,543,405
0,validation,Neutral,53,33,18
0,validation,Conservative,100,97,52
0,validation,Liberal,107,103,86
1,train,Neutral,98,150,170
1,train,Conservative,271,451,483
1,train,Liberal,332,537,536
1,validation,Neutral,53,49,2
1,validation,Conservative,84,152,13
1,validation,Liberal,94,196,6
2,train,Neutral,77,132,209
2,train,Conservative,220,408,577
2,train,Liberal,262,440,703
2,validation,Neutral,52,43,9
2,validation,Conservative,153,78,18
2,validation,Liberal,171,108,17
3,train,Neutral,73,116,229
3,train,Conservative,215,297,693
3,train,Liberal,220,386,799
3,validation,Neutral,76,21,7
3,validation,Conservative,176,59,14
3,validation,Liberal,223,60,13
4,train,Neutral,66,146,206
4,train,Conservative,168,415,622
4,train,Liberal,215,508,682
4,validation,Neutral,76,11,17
4,validation,Conservative,178,38,33
4,validation,Liberal,228,28,40
-1,test,Neutral,64,9,5
-1,test,Conservative,196,28,23
-1,test,Liberal,263,35,26
