epoch,loop,f1,roc_auc,accuracy
0,train,0.3391677675033025,0.5043758256274768,0.3391677675033025
0,validation,0.36433512682551883,0.5227272727272727,0.362095531587057
1,train,0.3583223249669749,0.5187417437252312,0.3583223249669749
1,validation,0.325115562403698,0.4938366718027736,0.325115562403698
2,train,0.39233817701453105,0.5442536327608983,0.39233817701453105
2,validation,0.4108991825613079,0.4788135593220339,0.1016949152542373
3,train,0.38606340819022456,0.5395475561426684,0.38606340819022456
3,validation,0.384703196347032,0.4645608628659476,0.11710323574730354
4,train,0.38408190224570676,0.53806142668428,0.38408190224570676
4,validation,0.42276422764227645,0.489984591679507,0.11864406779661017
-1,test,0.41602465331278893,0.46802773497688754,0.09090909090909091
