epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,370,424,411
0,train,Liberal,411,524,470
0,train,Neutral,115,167,136
0,validation,Conservative,94,75,80
0,validation,Liberal,94,116,86
0,validation,Neutral,28,42,34
1,train,Conservative,382,406,417
1,train,Liberal,426,518,461
1,train,Neutral,115,157,146
1,validation,Conservative,88,74,87
1,validation,Liberal,92,114,90
1,validation,Neutral,24,34,46
2,train,Conservative,421,401,383
2,train,Liberal,385,576,444
2,train,Neutral,115,125,178
2,validation,Conservative,84,74,91
2,validation,Liberal,96,110,90
2,validation,Neutral,21,34,49
3,train,Conservative,410,389,406
3,train,Liberal,395,592,418
3,train,Neutral,99,125,194
3,validation,Conservative,87,78,84
3,validation,Liberal,78,127,91
3,validation,Neutral,23,31,50
4,train,Conservative,428,389,388
4,train,Liberal,377,612,416
4,train,Neutral,86,94,238
4,validation,Conservative,84,76,89
4,validation,Liberal,84,124,88
4,validation,Neutral,18,29,57
-1,test,Conservative,67,81,99
-1,test,Liberal,88,125,111
-1,test,Neutral,18,22,38
