epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,183,109,126
0,train,Conservative,367,372,466
0,train,Liberal,363,412,630
0,validation,Neutral,50,21,33
0,validation,Conservative,25,93,131
0,validation,Liberal,33,79,184
1,train,Neutral,195,116,107
1,train,Conservative,164,564,477
1,train,Liberal,101,319,985
1,validation,Neutral,34,32,38
1,validation,Conservative,21,96,132
1,validation,Liberal,28,71,197
2,train,Neutral,291,76,51
2,train,Conservative,97,866,242
2,train,Liberal,45,195,1165
2,validation,Neutral,39,33,32
2,validation,Conservative,21,129,99
2,validation,Liberal,25,105,166
3,train,Neutral,349,44,25
3,train,Conservative,44,1096,65
3,train,Liberal,19,61,1325
3,validation,Neutral,38,47,19
3,validation,Conservative,25,158,66
3,validation,Liberal,22,154,120
4,train,Neutral,383,17,18
4,train,Conservative,25,1140,40
4,train,Liberal,26,31,1348
4,validation,Neutral,41,29,34
4,validation,Conservative,24,112,113
4,validation,Liberal,29,95,172
-1,test,Neutral,22,30,26
-1,test,Conservative,23,125,99
-1,test,Liberal,35,100,189
