epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,510,120,575
0,train,Liberal,557,141,707
0,train,Neutral,160,40,218
0,validation,Conservative,124,33,92
0,validation,Liberal,126,50,120
0,validation,Neutral,32,10,62
1,train,Conservative,383,378,444
1,train,Liberal,488,379,538
1,train,Neutral,142,113,163
1,validation,Conservative,123,21,105
1,validation,Liberal,136,38,122
1,validation,Neutral,33,4,67
2,train,Conservative,182,731,292
2,train,Liberal,241,826,338
2,train,Neutral,62,263,93
2,validation,Conservative,20,131,98
2,validation,Liberal,25,170,101
2,validation,Neutral,15,26,63
3,train,Conservative,289,734,182
3,train,Liberal,309,921,175
3,train,Neutral,92,262,64
3,validation,Conservative,37,149,63
3,validation,Liberal,29,196,71
3,validation,Neutral,14,36,54
4,train,Conservative,242,851,112
4,train,Liberal,224,1074,107
4,train,Neutral,84,267,67
4,validation,Conservative,14,170,65
4,validation,Liberal,11,218,67
4,validation,Neutral,9,42,53
-1,test,Conservative,21,154,72
-1,test,Liberal,13,230,81
-1,test,Neutral,7,41,30
