epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,386,471,348
0,train,Liberal,429,606,370
0,train,Neutral,94,117,207
0,validation,Conservative,92,120,37
0,validation,Liberal,103,143,50
0,validation,Neutral,21,30,53
1,train,Conservative,550,518,137
1,train,Liberal,373,939,93
1,train,Neutral,101,84,233
1,validation,Conservative,90,128,31
1,validation,Liberal,80,183,33
1,validation,Neutral,36,26,42
2,train,Conservative,910,222,73
2,train,Liberal,260,1103,42
2,train,Neutral,82,29,307
2,validation,Conservative,118,112,19
2,validation,Liberal,83,191,22
2,validation,Neutral,35,34,35
3,train,Conservative,1095,60,50
3,train,Liberal,70,1311,24
3,train,Neutral,40,18,360
3,validation,Conservative,134,98,17
3,validation,Liberal,101,179,16
3,validation,Neutral,49,26,29
4,train,Conservative,1163,29,13
4,train,Liberal,28,1365,12
4,train,Neutral,27,5,386
4,validation,Conservative,97,125,27
4,validation,Liberal,64,196,36
4,validation,Neutral,25,38,41
-1,test,Conservative,91,116,40
-1,test,Liberal,71,214,39
-1,test,Neutral,21,27,30
