epoch,loop,f1_micro,f1_macro,roc_auc,accuracy,f1_Conservative,f1_Liberal,f1_Neutral
0,train,0.32331571994715985,0.31221417395753187,0.4924867899603699,0.32331571994715985,0.28229166666666666,0.419261104192611,0.2350897510133179
0,validation,0.4560862865947612,0.33822861959411266,0.5920647149460709,0.4560862865947612,0.061855670103092786,0.6132075471698114,0.339622641509434
1,train,0.416446499339498,0.3836303108348964,0.5623348745046235,0.416446499339498,0.3453703703703704,0.50960219478738,0.29591836734693877
1,validation,0.47919876733436056,0.3488592044101016,0.6093990755007703,0.47919876733436056,0.06741573033707865,0.6291618828932262,0.35000000000000003
2,train,0.46961690885072654,0.43063795038596675,0.6022126816380449,0.46961690885072654,0.2878074306645735,0.5819142689371697,0.42219215155615697
2,validation,0.4699537750385208,0.3266433692677758,0.6024653312788906,0.4699537750385208,0.05263157894736842,0.6291618828932262,0.2981366459627329
3,train,0.5023117569352709,0.47974683673714585,0.6267338177014532,0.5023117569352709,0.32670157068062833,0.601023788015658,0.5115151515151516
3,validation,0.46533127889060094,0.3224165647783363,0.5989984591679507,0.46533127889060094,0.03676470588235294,0.6304849884526559,0.3
4,train,0.5211360634081902,0.5147080319915358,0.6408520475561427,0.5211360634081902,0.313953488372093,0.6153846153846154,0.6147859922178988
4,validation,0.4761171032357473,0.3615810162486672,0.6070878274268106,0.4761171032357473,0.07719298245614035,0.631079478054567,0.3764705882352941
-1,test,0.49614791987673346,0.34082765602908666,0.6221109399075502,0.49614791987673346,0.07913669064748202,0.6636259977194983,0.27972027972027974
