,0
0,1.1311595439910889
1,1.2055197954177856
2,1.1888872385025024
3,1.121671199798584
4,1.0693460702896118
5,1.1571639776229858
6,1.1089073419570923
7,1.1297383308410645
8,1.0886459350585938
9,1.0627527236938477
10,1.0978538990020752
11,1.067452311515808
12,1.2412296533584595
13,1.0789872407913208
14,1.1064454317092896
15,1.126225471496582
16,1.1719348430633545
17,1.1622445583343506
18,1.129856824874878
19,1.1298902034759521
20,1.1502918004989624
21,1.082728624343872
22,1.14272940158844
23,1.104331374168396
24,1.1380505561828613
25,1.1265792846679688
26,1.1220346689224243
27,1.1001241207122803
28,1.0866962671279907
29,1.1496577262878418
30,1.1444997787475586
31,1.065442681312561
32,1.0873019695281982
33,1.2179063558578491
34,1.0899744033813477
35,1.0891326665878296
36,1.1805226802825928
37,1.1070269346237183
38,1.12138032913208
39,1.163880467414856
40,1.0978946685791016
41,1.1231510639190674
42,1.2248127460479736
43,1.1072368621826172
44,1.0660868883132935
45,1.1485297679901123
46,1.1036293506622314
47,1.0848740339279175
48,1.1195389032363892
49,1.106384515762329
50,1.1084799766540527
51,1.1168698072433472
52,1.137510895729065
53,1.0973577499389648
54,1.0817005634307861
55,1.0875190496444702
56,1.0651413202285767
57,1.1124454736709595
58,1.1134929656982422
59,1.0914385318756104
60,1.1083855628967285
61,1.0616027116775513
62,1.1118669509887695
63,1.1202244758605957
64,1.125254511833191
65,1.1130681037902832
66,1.0620231628417969
67,1.1468483209609985
68,1.1254079341888428
69,1.115864872932434
70,1.0907671451568604
71,1.0910968780517578
72,1.1266902685165405
73,1.0892339944839478
74,1.1432338953018188
75,1.06298828125
76,1.1224106550216675
77,1.0578309297561646
78,1.0912165641784668
79,1.0867434740066528
80,1.1198946237564087
81,1.128138542175293
82,1.091844916343689
83,1.1170685291290283
84,1.1330293416976929
85,1.0821691751480103
86,1.1142842769622803
87,1.0890674591064453
88,1.1180354356765747
89,1.1282848119735718
90,1.1350510120391846
91,1.1536853313446045
92,1.1021894216537476
93,1.1198443174362183
94,1.1565282344818115
95,1.162062406539917
96,1.1476706266403198
97,1.1143248081207275
98,1.101743459701538
99,1.0766834020614624
100,1.1667834520339966
101,1.1031311750411987
102,1.092840313911438
103,1.153999924659729
104,1.090192437171936
105,1.158232569694519
106,1.1196198463439941
107,1.094665765762329
108,1.1279054880142212
109,1.090542197227478
110,1.1294047832489014
111,1.1458427906036377
112,1.0262062549591064
113,1.081836462020874
114,1.1169512271881104
115,1.1372261047363281
116,1.1319886445999146
117,1.0958549976348877
118,1.1485981941223145
119,1.114519715309143
120,1.1202445030212402
121,1.1221883296966553
122,1.102003812789917
123,1.1480538845062256
124,1.1167054176330566
125,1.1253145933151245
126,1.0881235599517822
127,1.081444263458252
128,1.0841403007507324
129,1.104710340499878
130,1.1141948699951172
131,1.0975990295410156
132,1.1426756381988525
133,1.0754847526550293
134,1.0898224115371704
135,1.157128930091858
136,1.1114511489868164
137,1.112619400024414
138,1.0887893438339233
139,1.110878586769104
140,1.1231088638305664
141,1.087505578994751
142,1.107874870300293
143,1.1257187128067017
144,1.095876932144165
145,1.060733437538147
146,1.0967860221862793
147,1.1026275157928467
148,1.1119706630706787
149,1.1137187480926514
150,1.076642394065857
151,1.135773777961731
152,1.1284226179122925
153,1.099073886871338
154,1.1191105842590332
155,1.0952608585357666
156,1.087241291999817
157,1.1065117120742798
158,1.0849379301071167
159,1.0820633172988892
160,1.0955771207809448
161,1.0564703941345215
162,1.1198643445968628
163,1.1118661165237427
164,1.1335303783416748
165,1.1108647584915161
166,1.076936960220337
167,1.093892216682434
168,1.0772756338119507
169,1.1202027797698975
170,1.0643573999404907
171,1.081756353378296
172,1.0888525247573853
173,1.1232314109802246
174,1.0790117979049683
175,1.1208746433258057
176,1.09608793258667
177,1.104750156402588
178,1.1427470445632935
179,1.0628039836883545
180,1.0881202220916748
181,1.0965707302093506
182,1.0578193664550781
183,1.1083722114562988
184,1.152472734451294
185,1.1061104536056519
186,1.0828088521957397
187,1.0508430004119873
188,1.148883581161499
189,1.1051816940307617
