epoch,loop,f1,roc_auc,accuracy
0,train,0.3847424042272127,0.5385568031704095,0.3847424042272127
0,validation,0.47303543913713403,0.6047765793528506,0.47303543913713403
1,train,0.5653896961690885,0.6740422721268164,0.5653896961690885
1,validation,0.5007704160246533,0.6255778120184899,0.5007704160246533
2,train,0.7509907529722589,0.8132430647291943,0.7509907529722589
2,validation,0.5100154083204931,0.6325115562403698,0.5100154083204931
3,train,0.8986129458388376,0.9239597093791281,0.8986129458388376
3,validation,0.4869029275808937,0.6151771956856702,0.4869029275808937
4,train,0.9517833553500661,0.9638375165125496,0.9517833553500661
4,validation,0.50231124807396,0.62673343605547,0.50231124807396
-1,test,0.5269645608628659,0.6452234206471494,0.5269645608628659
