epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,479,358,368
0,train,Liberal,501,449,455
0,train,Neutral,160,108,150
0,validation,Conservative,88,87,74
0,validation,Liberal,83,122,91
0,validation,Neutral,27,22,55
1,train,Conservative,500,313,392
1,train,Liberal,430,562,413
1,train,Neutral,113,91,214
1,validation,Conservative,92,88,69
1,validation,Liberal,71,143,82
1,validation,Neutral,27,22,55
2,train,Conservative,526,288,391
2,train,Liberal,355,642,408
2,train,Neutral,80,61,277
2,validation,Conservative,106,73,70
2,validation,Liberal,78,134,84
2,validation,Neutral,25,19,60
3,train,Conservative,641,227,337
3,train,Liberal,320,745,340
3,train,Neutral,74,50,294
3,validation,Conservative,110,82,57
3,validation,Liberal,73,142,81
3,validation,Neutral,24,20,60
4,train,Conservative,788,184,233
4,train,Liberal,266,882,257
4,train,Neutral,59,40,319
4,validation,Conservative,121,76,52
4,validation,Liberal,85,147,64
4,validation,Neutral,27,20,57
-1,test,Conservative,102,80,65
-1,test,Liberal,109,151,64
-1,test,Neutral,19,23,36
