epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,190,119,109
0,train,Conservative,418,404,383
0,train,Liberal,491,399,515
0,validation,Neutral,69,15,20
0,validation,Conservative,77,87,85
0,validation,Liberal,98,82,116
1,train,Neutral,247,77,94
1,train,Conservative,360,456,389
1,train,Liberal,360,351,694
1,validation,Neutral,65,17,22
1,validation,Conservative,65,91,93
1,validation,Liberal,79,72,145
2,train,Neutral,275,72,71
2,train,Conservative,198,632,375
2,train,Liberal,167,281,957
2,validation,Neutral,50,23,31
2,validation,Conservative,28,103,118
2,validation,Liberal,40,82,174
3,train,Neutral,307,70,41
3,train,Conservative,79,940,186
3,train,Liberal,64,145,1196
3,validation,Neutral,38,40,26
3,validation,Conservative,29,119,101
3,validation,Liberal,46,98,152
4,train,Neutral,361,40,17
4,train,Conservative,31,1133,41
4,train,Liberal,32,46,1327
4,validation,Neutral,41,32,31
4,validation,Conservative,27,130,92
4,validation,Liberal,36,112,148
-1,test,Neutral,26,33,19
-1,test,Conservative,37,128,82
-1,test,Liberal,31,122,171
