epoch,loop,f1_micro,f1_macro,roc_auc,accuracy,f1_Conservative,f1_Liberal,f1_Neutral
0,train,0.25297225891677677,0.2528652922089362,0.4397291941875825,0.25297225891677677,0.33034825870646767,0.20983606557377052,0.21841155234657036
0,validation,0.3081664098613251,0.25090972344968254,0.48112480739599384,0.3081664098613251,0.4788273615635179,-4.0,0.2739018087855297
1,train,0.29359313077939236,0.2599915938915612,0.47019484808454426,0.29359313077939236,0.4619565217391305,0.08026315789473684,0.23775510204081632
1,validation,0.33436055469953774,0.29382939860017115,0.5007704160246532,0.33436055469953774,0.48067226890756304,0.08750000000000001,0.3133159268929504
2,train,0.38507265521796563,0.36604077775832894,0.5388044914134743,0.38507265521796563,0.5035349567949725,0.3179916317991632,0.276595744680851
2,validation,0.4206471494607088,0.4123154174222529,0.5654853620955317,0.4206471494607088,0.4326710816777042,0.46706586826347307,0.3372093023255814
3,train,0.4821664464993395,0.4674594635851381,0.6116248348745047,0.4821664464993395,0.5703853955375254,0.4469589816124469,0.3850340136054422
3,validation,0.47919876733436056,0.4589873449195026,0.6093990755007703,0.47919876733436056,0.484725050916497,0.5242369838420108,0.368
4,train,0.6050198150594451,0.5896698040033447,0.7037648612945839,0.6050198150594451,0.6632173095014111,0.6266401590457256,0.4791519434628976
4,validation,0.46841294298921415,0.4393992876056201,0.6013097072419106,0.46841294298921415,0.3776223776223776,0.5628930817610063,0.37768240343347637
-1,test,0.5038520801232665,0.4492954495196357,0.6278890600924498,0.5038520801232665,0.43636363636363634,0.6100151745068285,0.30150753768844224
