epoch,loop,f1_micro,f1_macro,roc_auc,accuracy,f1_Conservative,f1_Liberal,f1_Neutral
0,train,0.3266182298546896,0.31034768751257175,0.4949636723910172,0.3266182298546896,0.356687898089172,0.38155136268343814,0.19280380176510525
0,validation,0.33281972265023113,0.31826938026624135,0.49961479198767333,0.33281972265023113,0.3892339544513458,0.35671342685370744,0.20886075949367086
1,train,0.33784676354029064,0.3215604929109923,0.503385072655218,0.33784676354029064,0.37927927927927924,0.3811527135044174,0.20424948594928033
1,validation,0.37442218798151,0.35896175405854364,0.5308166409861325,0.37442218798151,0.43999999999999995,0.3844580777096115,0.25242718446601947
2,train,0.36988110964332893,0.3567357247282981,0.5274108322324967,0.36988110964332893,0.4068100358422939,0.40650406504065045,0.25689307330195027
2,validation,0.3713405238828968,0.35806231517515935,0.5285053929121726,0.3713405238828968,0.41632653061224484,0.3991853360488798,0.2586750788643533
3,train,0.3728533685601057,0.3582120055043878,0.5296400264200792,0.3728533685601057,0.3992740471869329,0.4203928123694108,0.2549691569568197
3,validation,0.3913713405238829,0.3826647151298314,0.5435285053929121,0.3913713405238829,0.41014799154334036,0.42400000000000004,0.31384615384615383
4,train,0.4118229854689564,0.3997593687127096,0.5588672391017173,0.4118229854689564,0.44710211591536336,0.4519148936170212,0.3002610966057441
4,validation,0.37596302003081666,0.3684692625000065,0.5319722650231125,0.37596302003081666,0.3819742489270386,0.41434262948207173,0.3090909090909091
-1,test,0.3852080123266564,0.36042546316851437,0.5389060092449923,0.3852080123266564,0.4168421052631579,0.4528301886792453,0.21160409556313992
