epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,460,505,240
0,train,Liberal,453,616,336
0,train,Neutral,126,160,132
0,validation,Conservative,60,134,55
0,validation,Liberal,39,180,77
0,validation,Neutral,12,29,63
1,train,Conservative,497,544,164
1,train,Liberal,298,933,174
1,train,Neutral,95,177,146
1,validation,Conservative,91,114,44
1,validation,Liberal,76,168,52
1,validation,Neutral,23,31,50
2,train,Conservative,713,373,119
2,train,Liberal,153,1171,81
2,train,Neutral,94,159,165
2,validation,Conservative,117,96,36
2,validation,Liberal,85,178,33
2,validation,Neutral,31,33,40
3,train,Conservative,948,181,76
3,train,Liberal,74,1274,57
3,train,Neutral,79,136,203
3,validation,Conservative,92,133,24
3,validation,Liberal,67,203,26
3,validation,Neutral,31,36,37
4,train,Conservative,1046,95,64
4,train,Liberal,59,1303,43
4,train,Neutral,63,128,227
4,validation,Conservative,113,92,44
4,validation,Liberal,94,158,44
4,validation,Neutral,39,23,42
-1,test,Conservative,119,82,46
-1,test,Liberal,96,170,58
-1,test,Neutral,30,14,34
