epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,186,110,122
0,train,Conservative,396,312,497
0,train,Liberal,426,372,607
0,validation,Neutral,68,11,25
0,validation,Conservative,82,51,116
0,validation,Liberal,89,38,169
1,train,Neutral,194,83,141
1,train,Conservative,188,420,597
1,train,Liberal,146,353,906
1,validation,Neutral,48,21,35
1,validation,Conservative,30,84,135
1,validation,Liberal,43,55,198
2,train,Neutral,246,96,76
2,train,Conservative,103,622,480
2,train,Liberal,61,356,988
2,validation,Neutral,57,24,23
2,validation,Conservative,40,112,97
2,validation,Liberal,60,83,153
3,train,Neutral,332,63,23
3,train,Conservative,66,901,238
3,train,Liberal,26,278,1101
3,validation,Neutral,33,41,30
3,validation,Conservative,30,129,90
3,validation,Liberal,24,117,155
4,train,Neutral,388,24,6
4,train,Conservative,40,1092,73
4,train,Liberal,10,107,1288
4,validation,Neutral,29,42,33
4,validation,Conservative,25,105,119
4,validation,Liberal,19,100,177
-1,test,Neutral,20,30,28
-1,test,Conservative,24,112,111
-1,test,Liberal,25,87,212
