epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,156,125,137
0,train,Conservative,302,361,542
0,train,Liberal,362,381,662
0,validation,Neutral,52,0,52
0,validation,Conservative,45,0,204
0,validation,Liberal,54,2,240
1,train,Neutral,110,130,178
1,train,Conservative,190,304,711
1,train,Liberal,160,371,874
1,validation,Neutral,27,3,74
1,validation,Conservative,23,3,223
1,validation,Liberal,24,3,269
2,train,Neutral,146,100,172
2,train,Conservative,299,308,598
2,train,Liberal,289,327,789
2,validation,Neutral,52,0,52
2,validation,Conservative,59,0,190
2,validation,Liberal,62,0,234
3,train,Neutral,130,103,185
3,train,Conservative,259,311,635
3,train,Liberal,291,367,747
3,validation,Neutral,84,6,14
3,validation,Conservative,178,10,61
3,validation,Liberal,184,15,97
4,train,Neutral,91,118,209
4,train,Conservative,227,297,681
4,train,Liberal,244,310,851
4,validation,Neutral,87,0,17
4,validation,Conservative,168,0,81
4,validation,Liberal,165,0,131
-1,test,Neutral,61,0,17
-1,test,Conservative,163,0,84
-1,test,Liberal,180,0,144
