epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,196,98,124
0,train,Conservative,368,321,516
0,train,Liberal,401,346,658
0,validation,Neutral,62,16,26
0,validation,Conservative,64,67,118
0,validation,Liberal,75,64,157
1,train,Neutral,217,103,98
1,train,Conservative,241,397,567
1,train,Liberal,159,382,864
1,validation,Neutral,44,41,19
1,validation,Conservative,23,97,129
1,validation,Liberal,29,88,179
2,train,Neutral,263,102,53
2,train,Conservative,131,663,411
2,train,Liberal,42,313,1050
2,validation,Neutral,34,37,33
2,validation,Conservative,19,90,140
2,validation,Liberal,22,73,201
3,train,Neutral,323,79,16
3,train,Conservative,67,954,184
3,train,Liberal,15,193,1197
3,validation,Neutral,22,54,28
3,validation,Conservative,16,123,110
3,validation,Liberal,16,103,177
4,train,Neutral,358,50,10
4,train,Conservative,38,1084,83
4,train,Liberal,12,99,1294
4,validation,Neutral,44,42,18
4,validation,Conservative,34,148,67
4,validation,Liberal,38,134,124
-1,test,Neutral,30,36,12
-1,test,Conservative,40,143,64
-1,test,Liberal,39,146,139
