,filename,n_samples,epoch,time,f1_macro,n_estimators,criterion,max_depth,iteration
0,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,86.55582594871521,0.559374594056675,260,log_loss,30,1
1,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,160.9390652179718,0.6145652851462883,360,log_loss,90,2
2,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,0,162.060715675354,0.6188034188034188,760,log_loss,30,3
3,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,130.76717972755432,0.5649738139306827,60,log_loss,30,1
4,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,283.0178415775299,0.6360770440251572,660,gini,60,2
5,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,0,270.2573285102844,0.5355424137175756,310,entropy,30,3
6,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,342.23054671287537,0.6599071866813659,810,gini,30,1
7,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,304.2597525119781,0.6769820178322202,410,entropy,30,2
8,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,0,344.85884976387024,0.5458781362007169,110,log_loss,90,3
9,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,0,558.366060256958,0.6372600024773938,710,gini,90,1
10,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,0,599.786251783371,0.648014923627115,910,gini,30,2
11,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,0,304.9523470401764,0.6025945829371748,210,log_loss,30,3
12,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,64.45894241333008,0.6533003545948132,310,entropy,60,1
13,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,119.43076014518738,0.6187889718750116,210,gini,90,2
14,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,1,108.95687770843506,0.5167198613748667,460,log_loss,60,3
15,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,472.6743793487549,0.6623608412396562,860,log_loss,30,1
16,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,337.3595027923584,0.6182667777734526,810,gini,30,2
17,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,1,252.5651388168335,0.6190749240820148,310,log_loss,60,3
18,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,1,379.146621465683,0.6679428774514555,810,gini,90,1
19,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,1,332.84777545928955,0.6367793204799956,260,gini,90,2
20,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,1,335.211749792099,0.674584909177219,310,log_loss,60,3
21,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,1,490.0748426914215,0.6231423086506842,310,entropy,90,1
22,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,1,667.0512399673462,0.607275031378769,860,entropy,30,2
23,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,1,659.7759981155396,0.6292081721942263,560,entropy,30,3
24,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,2,115.05177760124208,0.6259629431114755,910,gini,60,1
25,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,2,83.31332516670227,0.5529592986734656,410,log_loss,60,2
26,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,2,175.73476672172546,0.6132996632996633,960,entropy,30,3
27,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,2,272.0620939731598,0.5888629888629889,510,entropy,30,1
28,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,2,166.8495819568634,0.6133167473312997,510,log_loss,60,2
29,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,2,155.012065410614,0.5345631942106018,310,gini,30,3
30,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,2,238.3588080406189,0.6288167871875417,210,gini,90,1
31,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,2,453.7283208370209,0.6317481189276061,360,gini,90,2
32,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,2,341.8582456111908,0.6119733500865232,660,entropy,30,3
33,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,2,411.60316610336304,0.6356634332913058,360,entropy,90,1
34,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,2,482.8279745578766,0.5662890077327722,860,gini,30,2
35,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,2,682.382472038269,0.637137723233385,310,entropy,30,3
36,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,3,128.3838312625885,0.56558229352347,210,gini,30,1
37,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,3,94.08972835540771,0.5581247692875599,110,gini,90,2
38,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,3,72.76914858818054,0.5737179487179488,210,log_loss,30,3
39,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,3,154.90354681015015,0.6101852376723416,60,log_loss,60,1
40,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,3,158.87753105163574,0.6284136424949662,610,gini,60,2
41,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,3,296.48992013931274,0.5137266163800338,260,entropy,90,3
42,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,3,295.9260528087616,0.627840351189219,160,gini,60,1
43,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,3,381.0400826931,0.5617382212457452,260,log_loss,30,2
44,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,3,230.11069345474243,0.533185109328958,160,entropy,90,3
45,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,3,334.01991391181946,0.6385835026487424,360,log_loss,60,1
46,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,3,403.5448460578919,0.599245380444378,260,gini,30,2
47,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,3,458.7706677913666,0.6421248074514406,560,log_loss,30,3
48,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,4,65.97025156021118,0.5799164992713379,60,log_loss,60,1
49,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,4,176.59144020080566,0.619096065813385,410,entropy,30,2
50,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,4,165.67610549926758,0.6158122782552521,210,log_loss,60,3
51,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,4,186.9015827178955,0.6073603884961415,160,log_loss,90,1
52,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,4,192.7735161781311,0.5459377451111812,710,gini,30,2
53,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,4,208.57356786727905,0.6236189144582125,310,gini,30,3
