,Unnamed: 0,filename,n_samples,epoch,time,f1_macro,n_neighbors,metric,iteration
38,38,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,2,0.8493030071258545,0.5988939165409753,1,cosine,2.0
39,39,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,3,0.9369585514068604,0.6292397660818713,1,cosine,2.0
40,40,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,4,1.115795373916626,0.5379140239605356,18,l1,2.0
41,41,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,5,1.369692087173462,0.684635832004253,19,l2,2.0
42,42,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,0,1.3152282238006592,0.5768804838572281,19,l1,2.0
43,43,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,1,2.066118001937866,0.571535409035409,8,l2,2.0
44,44,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,2,2.278563499450684,0.6057861220904699,15,l1,2.0
45,45,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,3,1.5992374420166016,0.5908521303258145,9,l1,2.0
46,46,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,4,1.1898131370544434,0.5907874260815437,18,l1,2.0
47,47,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,5,1.4943857192993164,0.6212962962962963,13,l2,2.0
48,48,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,0,0.6830830574035645,0.723030303030303,5,l1,3.0
49,49,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,1,0.4373242855072021,0.6030434420709329,10,l1,3.0
50,50,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,2,0.4904429912567138,0.6090562977623838,19,l2,3.0
51,51,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,3,0.7199649810791016,0.6357414553283396,7,l1,3.0
52,52,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,4,0.401475191116333,0.7410361067503924,19,l2,3.0
53,53,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,5,0.4135425090789795,0.6473544973544973,15,l1,3.0
54,54,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,0,0.6602218151092529,0.6407114127702362,17,l1,3.0
55,55,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,1,1.003059148788452,0.5017094017094017,1,l1,3.0
56,56,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,2,0.792309045791626,0.6303366474795046,6,l1,3.0
57,57,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,3,0.6780729293823242,0.6392227521639287,1,l1,3.0
58,58,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,4,0.5703229904174805,0.7446956727954527,18,l2,3.0
59,59,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,5,0.6578445434570312,0.6727642276422765,19,l1,3.0
60,60,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,0,1.0922529697418213,0.5852141405680426,15,cosine,3.0
61,61,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,1,0.9290244579315186,0.581594879778585,19,cosine,3.0
