filename,n_samples,epoch,time,f1_macro,n_estimators,criterion,max_depth
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,5,123.18520712852478,0.7230917874396136,340,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,0,66.38272356987,0.6360587002096435,10,gini,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,1,73.29836559295654,0.5522648083623692,10,entropy,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,2,86.97991347312927,0.6933528021137532,340,gini,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,3,69.56793189048767,0.6590909090909092,10,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,4,42.126439571380615,0.6412146307798482,10,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,5,138.08693075180054,0.6521711728745193,780,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,0,147.58029580116272,0.6961138478379857,120,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,1,157.28453254699707,0.5861775651249336,120,gini,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,2,88.01268362998962,0.6070234113712374,10,entropy,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,3,155.90483903884888,0.7347126436781609,120,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,4,118.91126084327698,0.6675103675103675,120,gini,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,5,129.05640649795532,0.6301353874883286,10,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,0,37.77799725532532,0.5638888888888888,10,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,1,82.55118107795715,0.4821300851773988,10,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,2,59.99739599227905,0.5868815688770678,120,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,3,90.52356886863708,0.5963292414094248,780,entropy,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,4,146.02455377578735,0.5832685161178809,780,gini,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,5,68.9739100933075,0.6009454068125336,560,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,0,133.91551899909973,0.668888888888889,10,entropy,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,1,128.19191670417786,0.6183816183816183,780,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,2,124.02413940429688,0.6825488518043076,340,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,3,94.45010471343994,0.612280701754386,340,gini,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,4,113.23074126243591,0.6111283376399655,340,entropy,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,5,102.35225057601927,0.643859649122807,120,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,0,82.99038410186768,0.6156195085414686,780,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,1,42.052321672439575,0.619501133786848,10,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,2,62.20679807662964,0.6951249844546697,10,gini,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,3,128.1526439189911,0.5416666666666666,340,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,4,64.87730121612549,0.7156477051213893,230,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,5,66.35715222358704,0.7026938508147055,230,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,0,152.06877183914185,0.696935791860604,340,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,1,80.18712830543518,0.7110806146424635,120,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,2,183.0851473808289,0.658361391694725,230,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,3,289.9869763851166,0.6986142605190224,120,gini,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,4,144.08473587036133,0.6667228294826703,340,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,5,124.88517022132874,0.6417853751187085,10,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,0,73.86316561698914,0.7267285861713106,120,gini,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,1,127.22533249855042,0.6075121145128514,340,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,2,51.80177307128906,0.6402277222945916,450,gini,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,3,70.38886499404907,0.5605875152998775,450,entropy,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,4,37.45717549324036,0.6694568145582496,10,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,500,5,84.69063210487366,0.6466632070576025,120,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,0,144.71026277542114,0.6517469349606906,340,gini,30
