epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,406,376,423
0,train,Liberal,451,488,466
0,train,Neutral,106,94,218
0,validation,Conservative,121,81,47
0,validation,Liberal,92,131,73
0,validation,Neutral,23,20,61
1,train,Conservative,645,398,162
1,train,Liberal,449,770,186
1,train,Neutral,126,96,196
1,validation,Conservative,102,122,25
1,validation,Liberal,82,179,35
1,validation,Neutral,29,34,41
2,train,Conservative,946,194,65
2,train,Liberal,226,1099,80
2,train,Neutral,72,73,273
2,validation,Conservative,154,64,31
2,validation,Liberal,125,133,38
2,validation,Neutral,41,17,46
3,train,Conservative,1111,59,35
3,train,Liberal,70,1270,65
3,train,Neutral,24,39,355
3,validation,Conservative,132,94,23
3,validation,Liberal,107,169,20
3,validation,Neutral,46,26,32
4,train,Conservative,1162,27,16
4,train,Liberal,25,1340,40
4,train,Neutral,12,14,392
4,validation,Conservative,181,49,19
4,validation,Liberal,154,118,24
4,validation,Neutral,53,20,31
-1,test,Conservative,166,51,30
-1,test,Liberal,178,129,17
-1,test,Neutral,39,16,23
