epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,73,563,569
0,train,Liberal,81,672,652
0,train,Neutral,26,180,212
0,validation,Conservative,32,173,44
0,validation,Liberal,16,222,58
0,validation,Neutral,10,38,56
1,train,Conservative,91,462,652
1,train,Liberal,103,596,706
1,train,Neutral,37,127,254
1,validation,Conservative,97,115,37
1,validation,Liberal,94,156,46
1,validation,Neutral,34,21,49
2,train,Conservative,337,579,289
2,train,Liberal,335,797,273
2,train,Neutral,94,134,190
2,validation,Conservative,4,210,35
2,validation,Liberal,2,262,32
2,validation,Neutral,2,61,41
3,train,Conservative,520,599,86
3,train,Liberal,455,897,53
3,train,Neutral,111,134,173
3,validation,Conservative,21,177,51
3,validation,Liberal,29,227,40
3,validation,Neutral,11,46,47
4,train,Conservative,565,549,91
4,train,Liberal,402,944,59
4,train,Neutral,112,95,211
4,validation,Conservative,69,158,22
4,validation,Liberal,55,229,12
4,validation,Neutral,29,42,33
-1,test,Conservative,78,150,19
-1,test,Liberal,81,231,12
-1,test,Neutral,25,35,18
