epoch,loop,f1,roc_auc,accuracy
0,train,0.34081902245706736,0.5056142668428005,0.34081902245706736
0,validation,0.29376854599406527,0.4595531587057011,0.24807395993836673
1,train,0.3038309114927345,0.47787318361955083,0.3038309114927345
1,validation,0.28591749644381226,0.4406779661016949,0.20647149460708783
2,train,0.2906208718626156,0.4679656538969617,0.2906208718626156
2,validation,0.3945068664169788,0.4980739599383667,0.2172573189522342
3,train,0.31505944517833556,0.4862945838837517,0.31505944517833556
3,validation,0.2957854406130268,0.4703389830508475,0.29275808936825887
4,train,0.3074636723910172,0.48059775429326285,0.3074636723910172
4,validation,0.4059339177343223,0.5265793528505393,0.2850539291217257
-1,test,0.3826429980276134,0.5003852080123267,0.24961479198767333
