epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,149,118,151
0,train,Conservative,416,345,444
0,train,Liberal,490,377,538
0,validation,Neutral,48,56,0
0,validation,Conservative,123,122,4
0,validation,Liberal,151,143,2
1,train,Neutral,189,17,212
1,train,Conservative,569,33,603
1,train,Liberal,664,43,698
1,validation,Neutral,59,44,1
1,validation,Conservative,156,89,4
1,validation,Liberal,191,104,1
2,train,Neutral,174,39,205
2,train,Conservative,552,105,548
2,train,Liberal,676,128,601
2,validation,Neutral,56,40,8
2,validation,Conservative,123,105,21
2,validation,Liberal,161,110,25
3,train,Neutral,207,31,180
3,train,Conservative,587,75,543
3,train,Liberal,630,103,672
3,validation,Neutral,30,74,0
3,validation,Conservative,89,160,0
3,validation,Liberal,107,189,0
4,train,Neutral,196,14,208
4,train,Conservative,575,38,592
4,train,Liberal,666,42,697
4,validation,Neutral,40,24,40
4,validation,Conservative,78,65,106
4,validation,Liberal,105,77,114
-1,test,Neutral,18,32,28
-1,test,Conservative,93,69,85
-1,test,Liberal,126,109,89
