epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,427,351,427
0,train,Liberal,473,447,485
0,train,Neutral,127,110,181
0,validation,Conservative,92,72,85
0,validation,Liberal,75,114,107
0,validation,Neutral,28,23,53
1,train,Conservative,468,345,392
1,train,Liberal,385,588,432
1,train,Neutral,73,76,269
1,validation,Conservative,78,88,83
1,validation,Liberal,71,134,91
1,validation,Neutral,18,20,66
2,train,Conservative,520,395,290
2,train,Liberal,293,865,247
2,train,Neutral,64,75,279
2,validation,Conservative,77,130,42
2,validation,Liberal,62,184,50
2,validation,Neutral,22,31,51
3,train,Conservative,712,340,153
3,train,Liberal,205,1128,72
3,train,Neutral,81,54,283
3,validation,Conservative,111,100,38
3,validation,Liberal,96,153,47
3,validation,Neutral,30,29,45
4,train,Conservative,971,148,86
4,train,Liberal,94,1293,18
4,train,Neutral,69,20,329
4,validation,Conservative,111,106,32
4,validation,Liberal,90,179,27
4,validation,Neutral,33,37,34
-1,test,Conservative,109,102,36
-1,test,Liberal,98,200,26
-1,test,Neutral,26,33,19
