epoch,loop,f1_micro,f1_macro,roc_auc,accuracy,f1_Conservative,f1_Liberal,f1_Neutral
0,train,0.3903566710700132,0.35608023988854565,0.54276750330251,0.3903566710700132,0.34674329501915707,0.4800559832050385,0.24144144144144142
0,validation,0.46070878274268107,0.3545118211540638,0.5955315870570107,0.46070878274268107,0.023255813953488372,0.6122961104140526,0.4279835390946502
1,train,0.45640686922060764,0.3695795444305672,0.5923051519154557,0.45640686922060764,0.26328217237308144,0.5891816920943135,0.25627476882430644
1,validation,0.48073959938366717,0.46438389398422714,0.6105546995377504,0.48073959938366717,0.5395799676898223,0.427645788336933,0.42592592592592593
2,train,0.47787318361955083,0.4229430938203862,0.6084048877146631,0.47787318361955083,0.3427672955974843,0.5833578359306086,0.3427041499330656
2,validation,0.5053929121725732,0.49115572714877037,0.6290446841294298,0.5053929121725732,0.5372050816696915,0.5058823529411764,0.43037974683544306
3,train,0.5069352708058125,0.47317673732642623,0.6302014531043593,0.5069352708058125,0.3963507349214394,0.589975845410628,0.4332036316472114
3,validation,0.5300462249614792,0.5005230200181948,0.6475346687211094,0.5300462249614792,0.4343675417661098,0.6130952380952381,0.4541062801932368
4,train,0.5746367239101717,0.5372628870385187,0.6809775429326288,0.5746367239101717,0.4802083333333333,0.649273643640676,0.48230668414154654
4,validation,0.5100154083204931,0.4851801185590516,0.6325115562403698,0.5100154083204931,0.486815415821501,0.5647840531561461,0.4039408866995074
-1,test,0.4930662557781202,0.4586205235292457,0.6197996918335902,0.4930662557781202,0.4462474645030426,0.5659777424483307,0.3636363636363636
