,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.3292763157894737,0.49695723684210524,0.3292763157894737
1,0,validation,0.3134920634920635,0.4851190476190476,0.3134920634920635
2,1,train,0.34197368421052626,0.5064802631578947,0.34197368421052626
3,1,validation,0.36921296296296297,0.5269097222222222,0.36921296296296297
4,2,train,0.3674342105263158,0.5255756578947368,0.3674342105263158
5,2,validation,0.4080687830687831,0.5560515873015873,0.4080687830687831
6,3,train,0.41177631578947366,0.5588322368421053,0.41177631578947366
7,3,validation,0.4044312169312169,0.5533234126984127,0.4044312169312169
8,4,train,0.4521052631578948,0.589078947368421,0.4521052631578948
9,4,validation,0.4279100529100529,0.5709325396825398,0.4279100529100529
10,5,train,0.48907894736842106,0.6168092105263158,0.48907894736842106
11,5,validation,0.4816468253968254,0.6112351190476191,0.4816468253968254
12,6,train,0.5383552631578947,0.653766447368421,0.5383552631578947
13,6,validation,0.460978835978836,0.595734126984127,0.460978835978836
14,7,train,0.5873026315789474,0.6904769736842106,0.5873026315789474
15,7,validation,0.47949735449735453,0.6096230158730159,0.47949735449735453
16,8,train,0.6115131578947368,0.7086348684210526,0.6115131578947368
17,8,validation,0.482473544973545,0.6118551587301587,0.482473544973545
18,9,train,0.6632236842105264,0.7474177631578948,0.6632236842105264
19,9,validation,0.476521164021164,0.607390873015873,0.476521164021164
20,-1,test,0.5092592592592593,0.6319444444444444,0.5092592592592593
