,filename,n_samples,epoch,time,f1_macro,n_neighbors,metric,iteration
864,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,0,0.2949750423431396,0.6372156943585515,1,l2,1.0
865,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,1,0.2615149021148681,0.6715579710144928,5,l1,1.0
866,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,2,0.3162016868591308,0.4643846165237608,5,l2,1.0
867,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,3,0.321441650390625,0.4870748299319727,9,cosine,1.0
868,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,4,0.3067846298217773,0.6070582255014091,8,l2,1.0
869,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,5,0.2634081840515136,0.5395299145299145,4,cosine,1.0
870,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,0,0.4096660614013672,0.5653495440729482,6,cosine,1.0
871,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,1,0.2323718070983886,0.5201390194808361,1,l2,1.0
872,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,2,0.3146400451660156,0.5970370370370371,13,cosine,1.0
873,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,3,0.2573070526123047,0.6696428571428571,3,cosine,1.0
874,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,4,0.2915945053100586,0.4864433811802233,1,l1,1.0
875,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,5,0.2979915142059326,0.5635158702476456,15,cosine,1.0
876,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,0,0.3832077980041504,0.5524132730015082,13,l1,1.0
877,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,1,0.3451855182647705,0.550188123783386,17,l1,1.0
878,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,2,0.410266637802124,0.6968502848293788,18,l1,1.0
879,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,3,0.4434602260589599,0.6409937888198758,14,l1,1.0
880,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,4,0.3311512470245361,0.6602141565846197,17,cosine,1.0
881,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,5,0.4862196445465088,0.6413129598189021,11,l1,1.0
882,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,0,0.2606360912322998,0.5622389306599832,3,l1,2.0
883,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,1,0.212397813796997,0.7391858612197595,5,l2,2.0
884,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,2,0.2944722175598144,0.6454838304815295,1,cosine,2.0
885,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,3,0.3474214076995849,0.5662843753853742,7,cosine,2.0
886,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,4,0.2329218387603759,0.5296776562985563,12,l1,2.0
887,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,5,0.343205451965332,0.5232183908045978,15,l1,2.0
888,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,0,0.2710835933685303,0.5781859915333444,7,l1,2.0
889,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,1,0.4497525691986084,0.648254762898067,6,cosine,2.0
890,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,2,0.2634756565093994,0.6196348714392018,19,l2,2.0
891,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,3,0.3382959365844726,0.6356174990321332,15,l2,2.0
892,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,4,0.2953081130981445,0.7021023098504938,15,l2,2.0
893,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,5,0.332334041595459,0.5483268054696625,17,cosine,2.0
894,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,0,0.351102352142334,0.6207897793263647,9,l2,2.0
895,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,1,0.290278673171997,0.6780124223602485,13,l1,2.0
896,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,2,0.2819976806640625,0.6872402959359482,15,l1,2.0
897,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,3,0.2930083274841308,0.6026219643240919,8,cosine,2.0
898,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,4,0.4168763160705566,0.514288500247254,6,l2,2.0
899,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,300,5,0.3360364437103271,0.6847015986800932,13,l1,2.0
900,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,0,0.2355728149414062,0.5740942028985507,17,l1,3.0
901,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,1,0.3326215744018554,0.6709687765831346,3,l1,3.0
902,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,2,0.2888441085815429,0.6146572104018913,3,l1,3.0
903,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,3,0.2157073020935058,0.6074074074074075,7,l1,3.0
904,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,4,0.2686467170715332,0.6800224466891134,16,cosine,3.0
