epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,222,96,100
0,train,Conservative,442,384,379
0,train,Liberal,506,495,404
0,validation,Neutral,75,9,20
0,validation,Conservative,90,74,85
0,validation,Liberal,112,75,109
1,train,Neutral,300,62,56
1,train,Conservative,393,447,365
1,train,Liberal,447,357,601
1,validation,Neutral,69,16,19
1,validation,Conservative,60,85,104
1,validation,Liberal,82,75,139
2,train,Neutral,288,65,65
2,train,Conservative,192,594,419
2,train,Liberal,197,347,861
2,validation,Neutral,52,25,27
2,validation,Conservative,24,112,113
2,validation,Liberal,36,87,173
3,train,Neutral,330,47,41
3,train,Conservative,74,827,304
3,train,Liberal,72,268,1065
3,validation,Neutral,46,29,29
3,validation,Conservative,32,129,88
3,validation,Liberal,38,104,154
4,train,Neutral,370,28,20
4,train,Conservative,43,1037,125
4,train,Liberal,37,133,1235
4,validation,Neutral,37,36,31
4,validation,Conservative,29,129,91
4,validation,Liberal,37,104,155
-1,test,Neutral,26,32,20
-1,test,Conservative,37,122,88
-1,test,Liberal,38,125,161
