epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,402,327,476
0,train,Liberal,462,368,575
0,train,Neutral,150,97,171
0,validation,Conservative,101,74,74
0,validation,Liberal,106,93,97
0,validation,Neutral,38,24,42
1,train,Conservative,340,364,501
1,train,Liberal,342,450,613
1,train,Neutral,100,115,203
1,validation,Conservative,111,62,76
1,validation,Liberal,125,84,87
1,validation,Neutral,42,23,39
2,train,Conservative,387,340,478
2,train,Liberal,374,392,639
2,train,Neutral,122,98,198
2,validation,Conservative,93,85,71
2,validation,Liberal,105,98,93
2,validation,Neutral,35,28,41
3,train,Conservative,386,332,487
3,train,Liberal,327,460,618
3,train,Neutral,107,100,211
3,validation,Conservative,111,73,65
3,validation,Liberal,119,84,93
3,validation,Neutral,35,24,45
4,train,Conservative,421,324,460
4,train,Liberal,338,435,632
4,train,Neutral,107,86,225
4,validation,Conservative,111,70,68
4,validation,Liberal,106,96,94
4,validation,Neutral,37,18,49
-1,test,Conservative,91,66,90
-1,test,Liberal,126,122,76
-1,test,Neutral,29,17,32
