epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,346,519,340
0,train,Liberal,375,641,389
0,train,Neutral,113,110,195
0,validation,Conservative,87,112,50
0,validation,Liberal,65,169,62
0,validation,Neutral,17,25,62
1,train,Conservative,575,471,159
1,train,Liberal,321,995,89
1,train,Neutral,101,82,235
1,validation,Conservative,118,90,41
1,validation,Liberal,107,153,36
1,validation,Neutral,30,29,45
2,train,Conservative,984,149,72
2,train,Liberal,153,1220,32
2,train,Neutral,72,25,321
2,validation,Conservative,134,98,17
2,validation,Liberal,122,163,11
2,validation,Neutral,50,29,25
3,train,Conservative,1143,43,19
3,train,Liberal,48,1344,13
3,train,Neutral,33,12,373
3,validation,Conservative,112,104,33
3,validation,Liberal,94,176,26
3,validation,Neutral,31,35,38
4,train,Conservative,1160,25,20
4,train,Liberal,19,1375,11
4,train,Neutral,13,5,400
4,validation,Conservative,116,108,25
4,validation,Liberal,89,184,23
4,validation,Neutral,33,41,30
-1,test,Conservative,110,111,26
-1,test,Liberal,94,206,24
-1,test,Neutral,30,29,19
