epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,571,151,483
0,train,Liberal,564,198,643
0,train,Neutral,199,37,182
0,validation,Conservative,103,3,143
0,validation,Liberal,145,4,147
0,validation,Neutral,42,0,62
1,train,Conservative,838,73,294
1,train,Liberal,974,93,338
1,train,Neutral,254,17,147
1,validation,Conservative,62,101,86
1,validation,Liberal,61,130,105
1,validation,Neutral,27,26,51
2,train,Conservative,802,259,144
2,train,Liberal,865,367,173
2,train,Neutral,263,44,111
2,validation,Conservative,61,147,41
2,validation,Liberal,63,184,49
2,validation,Neutral,34,27,43
3,train,Conservative,628,456,121
3,train,Liberal,619,652,134
3,train,Neutral,215,86,117
3,validation,Conservative,66,141,42
3,validation,Liberal,51,200,45
3,validation,Neutral,29,33,42
4,train,Conservative,170,898,137
4,train,Liberal,212,1063,130
4,train,Neutral,55,216,147
4,validation,Conservative,26,195,28
4,validation,Liberal,31,226,39
4,validation,Neutral,14,49,41
-1,test,Conservative,25,177,45
-1,test,Liberal,19,261,44
-1,test,Neutral,9,42,27
