epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,417,399,389
0,train,Liberal,437,493,475
0,train,Neutral,126,146,146
0,validation,Conservative,85,79,85
0,validation,Liberal,105,99,92
0,validation,Neutral,26,37,41
1,train,Conservative,416,367,422
1,train,Liberal,476,476,453
1,train,Neutral,130,127,161
1,validation,Conservative,73,84,92
1,validation,Liberal,110,105,81
1,validation,Neutral,26,25,53
2,train,Conservative,391,385,429
2,train,Liberal,450,483,472
2,train,Neutral,131,116,171
2,validation,Conservative,74,88,87
2,validation,Liberal,92,110,94
2,validation,Neutral,19,24,61
3,train,Conservative,458,372,375
3,train,Liberal,427,511,467
3,train,Neutral,109,101,208
3,validation,Conservative,87,76,86
3,validation,Liberal,93,119,84
3,validation,Neutral,15,20,69
4,train,Conservative,464,340,401
4,train,Liberal,392,561,452
4,train,Neutral,118,76,224
4,validation,Conservative,85,83,81
4,validation,Liberal,91,116,89
4,validation,Neutral,13,21,70
-1,test,Conservative,83,71,93
-1,test,Liberal,94,122,108
-1,test,Neutral,11,28,39
