,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.31855263157894737,0.48891447368421054,0.31855263157894737
1,0,validation,0.4317129629629629,0.5737847222222222,0.4317129629629629
2,1,train,0.3180921052631579,0.4885690789473684,0.3180921052631579
3,1,validation,0.2746362433862434,0.45597718253968256,0.2746362433862434
4,2,train,0.29756578947368423,0.47317434210526316,0.29756578947368423
5,2,validation,0.2941468253968254,0.47061011904761907,0.2941468253968254
6,3,train,0.2861184210526316,0.46458881578947364,0.2861184210526316
7,3,validation,0.3343253968253968,0.5007440476190477,0.3343253968253968
8,4,train,0.3190789473684211,0.48930921052631576,0.3190789473684211
9,4,validation,0.30968915343915343,0.48226686507936506,0.30968915343915343
10,5,train,0.30710526315789477,0.4803289473684211,0.30710526315789477
11,5,validation,0.30241402116402116,0.4768105158730159,0.30241402116402116
12,6,train,0.32732585139318887,0.49529605263157894,0.327171052631579
13,6,validation,0.3492063492063492,0.5119047619047619,0.3492063492063492
14,7,train,0.3276973684210526,0.4957730263157895,0.3276973684210526
15,7,validation,0.33812830687830686,0.5035962301587302,0.33812830687830686
16,8,train,0.3007894736842105,0.47559210526315787,0.3007894736842105
17,8,validation,0.36259920634920634,0.5219494047619048,0.36259920634920634
18,9,train,0.29078947368421054,0.4680921052631579,0.29078947368421054
19,9,validation,0.3239087301587301,0.4929315476190476,0.3239087301587301
20,-1,test,0.3082010582010582,0.4811507936507936,0.3082010582010582
